car_ID,manufacturer_id,model,trim,vehicle_type_id,msrp_price,door_number,city_mpg,highway_mpg,horsepower,engine,transmission_id,drivetrain_id,height_in,width_in,length_in,wheelbase,curb_weight,fuel_tank_size,web_link
1,6,X1,X1 xDrive28i,2,37400,4,27,33,228,2.0L-Turbocharged 4 Cylinder,1,2,62.9,71.7,175.5,105.1,3567,16.1,https://www.bmwusa.com/vehicles/x-models/x1/sports-activity-vehicle/overview.html
2,6,X1,X1 sDrive28i,2,35400,4,27,33,228,2.0L-Turbocharged 4 Cylinder,1,2,62.9,71.7,175.5,105.1,3567,16.1,https://www.bmwusa.com/vehicles/x-models/x1/sports-activity-vehicle/overview.html
3,6,X2,X2 sDrive28i,2,38600,4,24,32,228,2.0L-Turbocharged 4 Cylinder,1,2,60.1,61.6,172.2,105.1,3519,16.1,https://www.bmwusa.com/vehicles/x-models/x2/sports-activity-coupe/overview.html
4,6,X2,X2 M35i,2,46450,4,24,32,228,2.0L-Turbocharged 4 Cylinder,1,2,60.1,61.6,172.2,105.1,3519,16.1,https://www.bmwusa.com/vehicles/x-models/x2/sports-activity-coupe/overview.html
5,6,X2,X2 M35i,2,36600,4,24,32,228,2.0L-Turbocharged 4 Cylinder,1,2,60.1,61.6,172.2,105.1,3519,16.1,https://www.bmwusa.com/vehicles/x-models/x2/sports-activity-coupe/overview.html
6,6,X3,X3 xDrive30i,2,45700,4,25,29,258,2.0L-Turbocharged 4 Cylinder,1,1,66,64.4,185.9,112.8,4079,17.2,https://www.bmwusa.com/vehicles/x-models/x3/sports-activity-vehicle/overview.html
7,6,X3,X3 M40i,2,57800,4,25,29,258,2.0L-Turbocharged 4 Cylinder,1,1,66,64.4,185.9,112.8,4079,17.2,https://www.bmwusa.com/vehicles/x-models/x3/sports-activity-vehicle/overview.html
8,6,X3,X3 sDrive30i,2,43000,4,25,29,258,2.0L-Turbocharged 4 Cylinder,1,1,66,64.4,185.9,112.8,4079,17.2,https://www.bmwusa.com/vehicles/x-models/x3/sports-activity-vehicle/overview.html
9,6,X3,X3 M,2,70100,4,15,20,473,3.0L twin-turbocharged inline-6,1,3,65.6,63.7,186,112.8,4610,17.2,https://www.bmwusa.com/vehicles/x-models/x3/sports-activity-vehicle/overview.html
10,6,X4,X4 xDrive30i,2,62400,4,21,28,248,2.0L-Turbocharged 4 Cylinder,1,3,63.8,63.8,187.6,112.8,4178,17.2,https://www.bmwusa.com/vehicles/x-models/x4/sports-activity-coupe/overview.html
11,6,X4,X4 M40i,2,60600,4,21,28,248,2.0L-Turbocharged 4 Cylinder,1,3,63.8,63.8,187.6,112.8,4178,17.2,https://www.bmwusa.com/vehicles/x-models/x4/sports-activity-coupe/overview.html
12,6,X4,X4 M,2,73600,4,15,17,473,3.0L twin-turbocharged inline-6,1,3,63.7,75.9,187.5,112.8,4597,17.2,https://www.bmwusa.com/vehicles/x-models/x4/sports-activity-coupe/overview.html
13,6,X5,X5 xDrive40i,2,62900,4,21,26,335,3.0L twin-turbocharged inline-6,1,1,68.7,78.9,194.3,117.1,4828,21.9,https://www.bmwusa.com/vehicles/x-models/x5/sports-activity-vehicle/overview.html
14,6,X5,X5 M50i,2,82800,4,21,26,335,3.0L twin-turbocharged inline-6,1,1,68.7,78.9,194.3,117.1,4828,21.9,https://www.bmwusa.com/vehicles/x-models/x5/sports-activity-vehicle/overview.html
15,6,X5,X5 xDrive45e,2,63700,4,21,26,335,3.0L twin-turbocharged inline-6,1,1,68.7,78.9,194.3,117.1,4828,21.9,https://www.bmwusa.com/vehicles/x-models/x5/sports-activity-vehicle/overview.html
16,6,X5,X5 sDrive40i,2,60600,4,21,26,335,3.0L twin-turbocharged inline-6,1,1,68.7,78.9,194.3,117.1,4828,21.9,https://www.bmwusa.com/vehicles/x-models/x5/sports-activity-vehicle/overview.html
17,6,X5,X5 M,2,106100,4,13,18,567,4.4L twin-turbocharged V8,1,3,68.8,79.3,194.4,117,5455,22.4,https://www.bmwusa.com/vehicles/x-models/x5/sports-activity-vehicle/overview.html
18,6,X6,X6 xDrive40i,2,67350,4,21,25,335,3.0L twin-turbocharged inline-6,1,3,66.3,78.9,194.8,117.1,4784,22.4,https://www.bmwusa.com/vehicles/x-models/x6/sports-activity-coupe/overview.html
19,6,X6,X6 M50i,2,86250,4,21,25,335,3.0L twin-turbocharged inline-6,1,3,66.3,78.9,194.8,117.1,4784,22.4,https://www.bmwusa.com/vehicles/x-models/x6/sports-activity-coupe/overview.html
20,6,X6,X6 M,2,109600,4,13,18,567,4.4L twin-turbocharged V8,1,3,66.6,79.5,194.5,117,5060,22.4,https://www.bmwusa.com/vehicles/x-models/x6/sports-activity-coupe/overview.html
21,6,X7,X7 xDrive40i,2,74900,4,19,24,335,3.0L twin-turbocharged inline-6,1,3,71.1,78.7,203.3,122.2,6989,21.9,https://www.bmwusa.com/vehicles/x-models/x7/sports-activity-vehicle/overview.html
22,6,X7,X7 M50i,2,99800,4,19,24,335,3.0L twin-turbocharged inline-6,1,3,71.1,78.7,203.3,122.2,6989,21.9,https://www.bmwusa.com/vehicles/x-models/x7/sports-activity-vehicle/overview.html
23,6,X7,ALPINA XB7,2,141300,4,15,21,612,4.4L twin-turbocharged V9,1,3,71.1,78.7,203.3,122.2,5860,21.9,https://www.bmwusa.com/vehicles/all-electric/ix/sports-activity-vehicle/overview.html
24,6,iX,iX xDrive50,1,83200,4,0,0,532,Electric,1,3,66.8,77.4,195,118.1,5769,0,https://www.bmwusa.com/vehicles/x-models/x7/sports-activity-vehicle/overview.html
25,6,3,330i xDrive Sedan,1,43450,4,26,36,255,2.0L-Turbocharged 4 Cylinder,1,1,56.8,71.9,185.7,112.2,3582,15.6,https://www.bmwusa.com/vehicles/3-series/sedan/overview.html
26,6,3,M340i xDrive Sedan,1,56700,4,26,32,255,2.0L-Turbocharged 4 Cylinder,1,1,56.8,71.9,185.7,112.2,3582,15.6,https://www.bmwusa.com/vehicles/3-series/sedan/overview.html
27,6,3,M340i sDrive Sedan,1,44950,4,26,32,255,2.0L-Turbocharged 4 Cylinder,1,1,56.8,71.9,185.7,112.2,3582,15.6,https://www.bmwusa.com/vehicles/3-series/sedan/overview.html
28,6,3,330i Sedan,1,41450,4,26,36,255,2.0L-Turbocharged 4 Cylinder,1,1,56.8,71.9,185.7,112.2,3582,15.6,https://www.bmwusa.com/vehicles/3-series/sedan/overview.html
29,6,3,M340i Sedan,1,54700,4,26,36,255,2.0L-Turbocharged 4 Cylinder,1,1,56.8,71.9,185.7,112.2,3582,15.6,https://www.bmwusa.com/vehicles/3-series/sedan/overview.html
30,6,3,330e Sedan,1,42950,4,26,36,255,2.0L-Turbocharged 4 Cylinder,1,1,56.8,71.9,185.7,112.2,3582,15.6,https://www.bmwusa.com/vehicles/3-series/sedan/overview.html
31,6,5,530i xDrive Sedan,1,56500,4,25,33,248,2.0L-Turbocharged 4 Cylinder,1,1,58.2,73.5,195.8,117.1,3765,18,https://www.bmwusa.com/vehicles/5-series/sedan/overview.html
32,6,5,530e xDrive Sedan,1,57850,4,26,26,288,Intercooled Turbo Gas/Electric I-4,1,1,58.2,73.5,195.8,117.1,4222,12.1,https://www.bmwusa.com/vehicles/5-series/sedan/overview.html
33,6,5,540i xDrive Sedan,1,62250,4,25,32,335,Intercooled Turbo Gas/Electric I-6,1,1,58.2,73.5,195.8,117.1,3898,18,https://www.bmwusa.com/vehicles/5-series/sedan/overview.html
34,6,5,M550i xDrive Sedan,1,76800,4,17,25,,4.4L twin-turbocharged V8,1,3,58.2,73.5,195.8,117.1,4275,18,https://www.bmwusa.com/vehicles/5-series/sedan/overview.html
35,6,5,530i Sedan,1,54200,4,25,33,248,2.0L-Turbocharged 4 Cylinder,1,1,58.2,73.5,195.8,117.1,3765,18,https://www.bmwusa.com/vehicles/5-series/sedan/overview.html
36,6,5,530e Sedan,1,55550,4,26,26,288,2.0L-Turbocharged 4 Cylinder,1,1,58.4,73.5,195.8,117.1,4222,12.1,https://www.bmwusa.com/vehicles/5-series/sedan/overview.html
37,6,5,540i Sedan,1,59950,4,25,32,335,Intercooled Turbo Gas/Electric I-6,1,1,58.2,73.5,195.8,117.1,4222,18,https://www.bmwusa.com/vehicles/5-series/sedan/overview.html
38,6,7,740i xDrive Sedan,1,89800,4,22,29,335,3.0L twin-turbocharged inline-6,1,1,58.2,74.9,207.4,126.4,4244,20.6,https://www.bmwusa.com/vehicles/7-series/sedan/overview.html
39,6,7,745e xDrive,1,95900,4,22,22,389,Intercooled Turbo Gas/Electric I-6,1,3,58.2,74.9,207.4,126.4,4848,20.6,https://www.bmwusa.com/vehicles/7-series/sedan/overview.html
40,6,7,750i xDrive Sedan,1,103000,4,19,24,523,4.4L twin-turbocharged V8,1,3,58.2,74.9,207.4,126.4,4722,20.6,https://www.bmwusa.com/vehicles/7-series/sedan/overview.html
41,6,7,M760i xDrive Sedan,1,157800,4,13,20,600,6.6L twin-turbocharged V12,1,3,58.2,74.9,207.4,126.4,5159,20.6,https://www.bmwusa.com/vehicles/7-series/sedan/overview.html
42,6,7,ALPINA B7 xDrive,1,143200,4,17,24,600,4.4L twin-turbocharged V8,1,3,58.2,74.9,207.4,126.4,4855,20.6,https://www.bmwusa.com/vehicles/7-series/sedan/overview.html
43,6,7,BMW 740i Sedan,1,86800,4,22,29,335,3.0L twin-turbocharged inline-6,1,1,58.2,73.5,195.8,117.1,4222,18,https://www.bmwusa.com/vehicles/7-series/sedan/overview.html
44,6,M,M3 Sedan,1,70100,4,16,23,473,3.0L twin-turbocharged inline-6,1,1,56.4,74.3,189.1,112.5,3840,15.6,https://www.bmwusa.com/vehicles/m-models.html
45,6,M,M3 Competition Sedan,1,73000,4,16,23,503,3.0L twin-turbocharged inline-6,1,1,56.4,74.3,189.1,112.5,3840,15.6,https://www.bmwusa.com/vehicles/m-models.html
46,6,M,M3 Competition xDrive Sedan,1,77100,4,16,23,503,3.0L twin-turbocharged inline-6,1,1,56.4,74.3,189.1,112.5,3840,15.6,https://www.bmwusa.com/vehicles/m-models.html
47,6,M,M4 Coupe,4,72000,2,16,23,473,3.0L twin-turbocharged inline-6,1,1,54.8,74.3,189.1,112.5,3830,15.6,https://www.bmwusa.com/vehicles/m-models.html
48,6,M,M4 Competition Coupe,4,74900,2,16,23,503,3.0L twin-turbocharged inline-6,1,1,54.8,74.3,189.1,112.5,3830,15.6,https://www.bmwusa.com/vehicles/m-models.html
49,6,M,M4 Competition xDrive Coupe,4,79000,2,16,23,503,3.0L twin-turbocharged inline-6,1,1,54.8,74.3,189.1,112.5,3830,15.6,https://www.bmwusa.com/vehicles/m-models.html
50,6,M,M4 Competition xDrive Convertible,1,86500,4,16,23,503,3.0L twin-turbocharged inline-6,1,1,54.8,74.3,189.1,112.5,3830,15.6,https://www.bmwusa.com/vehicles/m-models.html
51,6,M,M5 Sedan,1,103700,4,15,21,600,4.4L twin-turbocharged V8,1,3,58,74.9,196.4,117.4,4345,20.1,https://www.bmwusa.com/vehicles/m-models.html
