car_id,manufacturer_id,model,trim,vehicle_type_id,msrp_price,door_number,city_mpg,highway_mpg,horsepower,engine,transmission_id,drivetrain_id,height_in,width_in,length_in,wheelbase,curb_weight,fuel_tank_size,web_link
1,2,F150,XL,3,29990,4,25,25,290,3.3-Liter V6,1,1,75.6,95.7,209.1,122.8,4021,23,https://www.ford.com/trucks/f150/?gnav=header-trucks-vhp
2,2,F150,XLT,3,38130,4,25,25,290,3.3-Liter V7,1,1,75.6,95.7,209.1,122.8,4021,23,https://www.ford.com/trucks/f150/?gnav=header-trucks-vhp
3,2,F150,Lariat,3,47640,4,25,25,325,2.7-Liter EcoBoost V6,1,3,75.6,95.7,209.1,122.8,4171,23,https://www.ford.com/trucks/f150/?gnav=header-trucks-vhp
4,2,F150,King Ranch,3,58610,4,16,22,400,5.0-Liter V8,1,3,75.6,95.7,209.1,122.8,4300,23,https://www.ford.com/trucks/f150/?gnav=header-trucks-vhp
5,2,F150,Platinum,3,61390,4,16,22,400,5.0-Liter V8,1,3,75.6,95.7,209.1,122.8,4300,23,https://www.ford.com/trucks/f150/?gnav=header-trucks-vhp
6,2,F150,Limited,3,75835,4,18,24,400,3.5-Liter EcoBoost V6,1,3,75.6,95.7,209.1,122.8,4428,23,https://www.ford.com/trucks/f150/?gnav=header-trucks-vhp
7,2,F150,Tremor,3,52235,4,18,24,400,3.5-Liter EcoBoost V6,1,3,75.6,95.7,209.1,122.8,4428,23,https://www.ford.com/trucks/f150/?gnav=header-trucks-vhp
8,2,F150,Raptor,3,68675,4,15,28,450,3.5-Liter EcoBoost V6,1,3,75.6,95.7,209.1,122.8,4428,23,https://www.ford.com/trucks/f150/?gnav=header-trucks-vhp
9,2,Mustang,GT Fastback,4,36285,2,15,24,480,5.0-Liter V8,1,1,55.1,81.9,188.9,107.1,3730,16,https://www.ford.com/mustang/?gnav=eyebrow-brand-mustang
10,2,Mustang,GT Premium,4,40285,2,15,24,480,5.0-Liter V8,1,1,55.1,81.9,188.9,107.1,3730,16,https://www.ford.com/mustang/?gnav=eyebrow-brand-mustang
11,2,Mustang,MACH 1,4,53400,2,15,23,480,5.0-Liter V8,1,1,55.1,81.9,188.9,107.1,3730,16,https://www.ford.com/mustang/?gnav=eyebrow-brand-mustang
12,2,Mustang,Shelby GT500,4,72900,2,12,18,760,5.2-Liter Supercharged Cross Plane Crank V8,1,1,55,81.9,190.2,107,3752,16,https://www.ford.com/mustang/?gnav=eyebrow-brand-mustang
13,2,F250,XL,3,37495,4,22,30,475,6.7-Liter V8 Turbo Diesel ,1,3,81.3,105.9,266.2,176,7494,29,https://www.ford.com/trucks/super-duty/?gnav=header-trucks-vhp
14,2,F250,XLT,3,42220,4,22,30,475,6.7-Liter V8 Turbo Diesel ,1,3,81.3,105.9,266.2,176,7494,29,https://www.ford.com/trucks/super-duty/?gnav=header-trucks-vhp
15,2,F250,Lariat,3,50605,4,22,30,475,6.7-Liter V8 Turbo Diesel ,1,3,81.3,105.9,266.2,176,7494,29,https://www.ford.com/trucks/super-duty/?gnav=header-trucks-vhp
16,2,F250,King Ranch,3,65595,4,22,30,475,6.7-Liter V8 Turbo Diesel ,1,3,81.3,105.9,266.2,176,7494,29,https://www.ford.com/trucks/super-duty/?gnav=header-trucks-vhp
17,2,F250,Platinum,3,68910,4,22,30,475,6.7-Liter V8 Turbo Diesel ,1,3,81.3,105.9,266.2,176,7494,29,https://www.ford.com/trucks/super-duty/?gnav=header-trucks-vhp
18,2,F250,Limited,3,87630,4,22,30,475,6.7-Liter V8 Turbo Diesel ,1,3,81.3,105.9,266.2,176,7494,29,https://www.ford.com/trucks/super-duty/?gnav=header-trucks-vhp
19,2,Bronco,Outerbanks,2,38995,4,20,22,275,2.3-Liter Ecoboost V6,1,3,73,86.2,189.4,116.1,4661,20.8,https://www.ford.com/bronco/?gnav=eyebrow-brand-brnco
20,2,Bronco,Badlands,2,44495,4,18,20,330,2.7-Liter EcoBoost V6,1,3,73,86.2,189.4,116.1,4661,20.8,https://www.ford.com/bronco/?gnav=eyebrow-brand-brnco
21,2,Bronco,Wildtrak,2,46980,4,18,20,330,2.7-Liter EcoBoost V6,1,3,73,86.2,189.4,116.1,4661,20.8,https://www.ford.com/bronco/?gnav=eyebrow-brand-brnco
22,2,Bronco,Raptor,2,68000,4,20,21,450,3.0-Liter Ecoboost V6,1,3,77.8,86.2,189.4,116.1,4750,20.8,https://www.ford.com/bronco/?gnav=eyebrow-brand-brnco
