car_id,manufacturer_id,model,trim,vehicle_type_id,msrp_price,door_number,city_mpg,highway_mpg,horsepower,engine,transmission_id,drivetrain_id,height_in,width_in,length_in,wheelbase,curb_weight,fuel_tank_size,web_link
1,3,Civic Sedan,LX,1,22350,4,31,40,158,In-Line 4-Cylinder,6,2,55.7,70.9,183.3,107.7,2877,12.4,https://automobiles.honda.com/civic-sedan
2,3,Civic Sedan,Sport,1,23750,4,30,37,158,In-Line 4-Cylinder,6,2,55.7,70.9,183.3,107.7,2877,12.4,https://automobiles.honda.com/civic-sedan
3,3,Civic Sedan,EX,1,25350,4,33,42,180,In-Line 4-Cylinder with Turbocharger,6,2,55.7,70.9,183.3,107.7,2877,12.4,https://automobiles.honda.com/civic-sedan
4,3,Civic Sedan,Touring,1,28950,4,31,38,180,In-Line 4-Cylinder with Turbocharger,6,2,55.7,70.9,183.3,107.7,2877,12.4,https://automobiles.honda.com/civic-sedan
5,3,Accord Sedan,LX,1,26120,4,30,38,192,In-Line 4-Cylinder with Turbocharger,6,2,57.1,73.3,196.1,111.4,3150,14.8,https://automobiles.honda.com/accord-sedan
6,3,Accord Sedan,Sport,1,28580,4,29,35,192,In-Line 4-Cylinder with Turbocharger,6,2,57.1,73.3,196.1,111.4,3223,14.8,https://automobiles.honda.com/accord-sedan
7,3,Accord Sedan,Sport Special Edt.,1,30070,4,29,35,252,In-Line 4-Cylinder with Turbocharger,6,2,57.1,73.3,196.1,111.4,3230,14.8,https://automobiles.honda.com/accord-sedan
8,3,Accord Sedan,EX-L,1,32440,4,48,47,212,In-Line 4-Cylinder with Turbocharger,6,2,57.1,73.3,196.1,111.4,3326,12.8,https://automobiles.honda.com/accord-sedan
9,3,Accord Sedan,Hybrid ,1,27320,4,48,47,212,In-Line 4-Cylinder,6,2,57.1,73.3,196.1,111.4,3375,12.8,https://automobiles.honda.com/accord-sedan
10,3,Accord Sedan,Hybrid Sport,1,30670,4,44,41,212,In-Line 4-Cylinder,6,2,57.1,73.3,196.1,111.4,3221,14.8,https://automobiles.honda.com/accord-sedan
11,3,Clarity Hybrid,Standard,1,33400,4,44,42,212,In-Line 4-Cylinder,6,2,58.2,73.9,192.7,108.3,"4,052",7,https://automobiles.honda.com/clarity
12,3,Clarity Hybrid,Touring,1,36600,4,44,42,212,In-Line 4-Cylinder,6,2,58.2,73.9,192.7,108.3,"4,059",7,https://automobiles.honda.com/clarity
13,3,Insight,EX,1,25760,4,55,52,212,In-Line 4-Cylinder,6,2,55.6,71.6,183.6,106.3,3000,10.6,https://automobiles.honda.com/insight
