car_id,manufacturer_id,model,trim,vehicle_type_id,msrp_price,door_number,city_mpg,highway_mpg,horsepower,engine,transmission_id,drivetrain_id,height_in,width_in,length_in,wheelbase,curb_weight,fuel_tank_size,web_link
1,1,Prius Prime,LE,1,28220,4,55,53,121,1.8-Liter 4-Cylinder/Electric,3,2,57.9,69.3,182.9,106.3,3365,11.4,https://www.toyota.com/priusprime/
2,1,Prius Prime,XLE,1,30000,4,55,53,121,1.8-Liter 4-Cylinder/Electric,3,2,57.9,69.3,182.9,106.3,3365,11.4,https://www.toyota.com/priusprime/
3,1,Prius Prime,Limited,1,34000,4,55,53,121,1.8-Liter 4-Cylinder/Electric,3,2,57.9,69.3,182.9,106.3,3365,11.4,https://www.toyota.com/priusprime/
4,1,Prius,L Eco,1,24625,4,58,53,121,1.8-Liter 4-Cylinder/Electric,3,2,57.9,69.3,180,106.3,3010,11.3,https://www.toyota.com/prius/
5,1,Prius,LE,1,25835,4,54,50,121,1.8-Liter 4-Cylinder/Electric,3,2,57.9,69.3,180,106.3,3040,11.3,https://www.toyota.com/prius/
6,1,Prius,LE AWD-e,1,27235,4,51,47,121,1.8-Liter 4-Cylinder/Electric,3,3,57.9,69.3,180,106.3,3210,10.6,https://www.toyota.com/prius/
7,1,Corolla,L,1,20175,4,30,38,139,1.8-Liter 4-Cylinder,6,2,56.5,70.1,182.3,106.3,2910,13.2,https://www.toyota.com/corolla/
8,1,Corolla,SE,1,22625,4,31,40,169,2.0-Liter 4-Cylinder,6,2,56.5,70.1,182.5,106.3,3110,13.2,https://www.toyota.com/corolla/
9,1,Corolla,XSE,1,26075,4,31,38,169,2.0-Liter 4-Cylinder,6,2,56.5,70.1,182.5,106.3,3150,13.2,https://www.toyota.com/corolla/
10,1,Camry,LE,1,25395,4,28,39,203,2.5-Liter 4-Cylinder,1,2,56.9,72.4,192.1,111.2,3310,15.8,https://www.toyota.com/camry/
11,1,Camry,SE,1,26935,4,28,39,203,2.5-Liter 4-Cylinder,1,2,56.9,72.4,192.7,111.2,3350,15.8,https://www.toyota.com/camry/
12,1,Camry,XLE,1,30145,4,27,38,203,2.5-Liter 4-Cylinder,1,2,56.9,72.4,192.1,111.2,3380,15.8,https://www.toyota.com/camry/
13,1,Avalon,XLE,1,36375,4,22,31,301,3.5-Liter V6,1,2,56.5,72.8,195.9,113,3570,14.5,toyota.com/camry/
14,1,Avalon,Touring,1,43075,4,22,31,301,3.5-Liter V7,1,2,56.5,72.8,195.9,113,3715,15.8,toyota.com/camry/
15,1,Avalon,Limited,1,42675,4,22,31,301,3.5-Liter V8,1,2,56.5,72.8,195.9,113,3695,15.8,toyota.com/camry/
16,1,GR Supra,2.0,4,43290,2,25,32,255,2.0-Liter 4-Cylinder,1,1,51.1,73,172.5,97.2,3181,13.7,https://www.toyota.com/grsupra/
17,1,GR Supra,3.0,4,51640,2,22,30,382,3.0-Liter 6-Cylinder,1,1,51.1,73,172.5,97.2,3400,13.7,https://www.toyota.com/grsupra/
18,1,GR Supra,3.0 Premium,4,54790,2,22,30,382,3.0-Liter 6-Cylinder,1,1,51.1,73,172.5,97.2,3400,13.7,https://www.toyota.com/grsupra/
19,1,4Runner,TRD Sport,2,42325,4,16,19,270,4.0-Liter V6,1,3,71.5,75.8,190.2,109.8,6300,23,https://www.toyota.com/4runner/
20,1,4Runner,TRD Off-Road,2,41435,4,16,19,270,4.0-Liter V7,1,3,71.5,75.8,191.3,109.8,6300,23,https://www.toyota.com/4runner/
21,1,4Runner,TRD PRO,2,52420,4,16,19,270,4.0-Liter V8,1,3,72,75.8,191.3,109.8,6300,23,https://www.toyota.com/4runner/
22,1,Sienna,LE,6,34710,4,36,36,245,Hybrid 2.5-Liter 16-Valve,3,2,68.5,78.5,203.7,120.5,4610,18,https://www.toyota.com/sienna/
23,1,Sienna,XSE,6,42250,4,36,36,245,Hybrid 2.5-Liter 16-Valve,3,2,68.5,78.5,204.1,120.5,4675,18,https://www.toyota.com/sienna/
24,1,Sienna,Platinum,6,50910,4,35,36,245,Hybrid 2.5-Liter 16-Valve,3,3,68.5,78.5,203.7,120.5,4725,18,https://www.toyota.com/sienna/
25,1,GR86,Std.,4,27700,2,20,27,228,DOHC 16-Valve,2,1,51.6,69.9,167.9,101.4,3682,13.2,https://www.toyota.com/gr86/
26,1,GR86,Premium,4,31800,2,21,31,228,DOHC 16-Valve,4,1,51.6,69.9,167.9,101.4,3748,13.2,https://www.toyota.com/gr86/
27,1,Tacoma,SR,3,32965,4,18,22,278,3.5-Liter V6,1,3,70.6,74.4,21.3,127.4,4445,21.1,https://www.toyota.com/tacoma/
28,1,Tacoma,TRD Off-Road,3,38465,4,18,22,278,3.5-Liter V7,1,3,70.6,75.2,22.5,140.6,4495,21.1,https://www.toyota.com/tacoma/
29,1,Tacoma,TRD Pro,3,48840,4,18,22,278,3.5-Liter V8,1,3,71.6,75.2,212.3,127.4,4445,21.1,https://www.toyota.com/tacoma/
30,1,Tundra,Limited,3,52230,4,17,22,389,3.5 Twin-Turbo V6,5,3,78,80.2,245.6,157.7,5720,32.2,https://www.toyota.com/tundra/
31,1,Tundra,1794 Edition,3,60690,4,17,22,389,3.5 Twin-Turbo V7,5,3,78,80.2,233.6,145.7,5620,32.2,https://www.toyota.com/tundra/
32,1,Tundra,TRD Pro,3,49950,4,17,22,437,3.5-Liter Twin-Turbo V6 Hybrid,5,3,78,81.6,233.6,145.7,6015,32.2,https://www.toyota.com/tundra/
33,1,Sequoia,TRD Sport,2,56440,4,13,17,381,5.7-Liter i-Force V8,5,3,77,79.9,205.1,122,5985,26.4,https://www.toyota.com/sequoia/
34,1,Sequoia,Nightshade,2,60605,4,13,17,381,5.7-Liter i-Force V9,5,1,77,79.9,205.1,122,5730,26.4,https://www.toyota.com/sequoia/
35,1,Sequoia,Platinum,2,69775,4,13,17,381,5.7-Liter i-Force V10,5,3,77,79.9,205.1,122,6000,26.4,https://www.toyota.com/sequoia/
36,1,Corolla,SE,5,22015,4,32,41,168,2.0-Liter inline 4-Cylinder ,6,2,57.1,70.5,172,103.9,3060,13.2,https://www.toyota.com/corollahatchback/
37,1,Corolla,SE Nightshade,5,22915,4,32,41,168,2.0-Liter inline 4-Cylinder ,6,2,57.1,70.5,172,103.9,3060,13.2,https://www.toyota.com/corollahatchback/
38,1,Corolla,XSE,5,24965,4,30,38,168,2.0-Liter inline 4-Cylinder ,6,2,57.1,70.5,172,103.9,3060,13.2,https://www.toyota.com/corollahatchback/
